product_code,default_billing_dimension,billing_dimensions,usage_unit,usage_page_name,dimension,dimension_name,netsuite_name,revenue_accounting_name,salesforce_name,salesforce_display_name,website_name,datadog_product,product_name,usage_page_category,salesforce_family,salesforce_product_category,salesforce_product_family,website_product_category,website_product_nav_category,rda_product_category,rda_product_family,revenue_accounting_category,fpa_product_family,fpa_public_reporting_group
APM-DEVSECOPS,apm_devsecops,apm_devsecops,host,APM DevSecOps Hosts,apm_devsecops_host,APM DevSecOps Hosts,,Committed APM DevSecOps|On-Demand APM DevSecOps,APM DevSecOps,APM DevSecOps,APM DevSecOps,apm,APM,apm,APM,APM,APM,Application Performance Monitoring,Applications,apm,apm,Invoicing - APM,APM DevSecOps,APM DevSecOps*
APM-ENT-DEVSECOPS,apm_ent_devsecops,apm_ent_devsecops,host,APM DevSecOps Enterprise Hosts,apm_devsecops_host_ent,APM DevSecOps Enterprise Hosts,Committed APM DevSecOps (Enterprise),Committed APM DevSecOps (Enterprise),APM DevSecOps Enterprise,APM DevSecOps Enterprise,APM DevSecOps Enterprise,apm,APM,apm,APM,APM,APM,Application Performance Monitoring,Applications,apm,apm,Invoicing - APM,APM DevSecOps,APM DevSecOps*
APM-PRO-DEVSECOPS,apm_pro_devsecops,apm_pro_devsecops,host,APM DevSecOps Pro Hosts,apm_devsecops_host_pro,APM DevSecOps Pro Hosts,,Committed APM DevSecOps Pro,APM DevSecOps Pro,APM DevSecOps Pro,APM DevSecOps Pro,apm,APM,apm,APM,APM,APM,Application Performance Monitoring,Applications,apm,apm,Invoicing - APM,APM DevSecOps,APM DevSecOps*
FARGATE-APM,apm_fargate,apm_fargate,fargate task,APM Fargate Tasks,apm_fargate_task,APM Fargate Tasks,Committed Fargate Tasks (APM),Committed Fargate Tasks (APM)|On-Demand Fargate Tasks (Application Security)|On-Demand Parallel Testing,Fargate Tasks (APM),Fargate Tasks (APM),Fargate (APM),apm,APM,apm,Fargate Tasks,APM,APM,Application Performance Monitoring,Applications,apm,apm,Invoicing - Synthetics|Invoicing - Monitoring,Other APM,APM
FARGATE-APMCP,fargate_container_apm_and_profiler,fargate_container_apm_and_profiler,profiled task,APM Fargate Tasks (+Profiler add-on),apm_fargate_task,APM Fargate Tasks (+Profiler add-on),Committed Fargate (APM and Continuous Profiler),Committed Fargate (APM and Continuous Profiler),Fargate Tasks (APM Enterprise),Fargate Tasks (APM Enterprise),Fargate (APM Enterprise),apm,APM,apm,Fargate Tasks,APM,APM,Application Performance Monitoring,Applications,apm,apm,Invoicing - Monitoring,APM Bundle,APM Bundle*
HOSTS-APM,apm_host,apm_host|apm_host_no_usm,APM host,APM Hosts,apm_host,APM Hosts,Committed APM,Committed APM,APM Hosts,APM Host Add On,APM,apm,APM,apm,APM,APM,APM,Application Performance Monitoring,Applications,apm,apm,Invoicing - APM,APM Hosts,APM
HOSTS-APMCP,apm_profiler_host,apm_profiler_host,APM host,APM Hosts (+Profiler add-on),apm_host,APM Hosts (+Profiler add-on),Committed Hosts-APMCP,Committed Hosts-APMCP,APM Hosts with Continuous Profiler,APM Host with Continuous Profiler Add On,,apm,APM,apm,APM,APM,APM,,,apm,apm,Invoicing - APM,APM Bundle,APM Bundle*
APM-HOST-ENT,apm_host_enterprise,apm_host_enterprise,APM host,APM Enterprise Hosts,apm_host_enterprise,APM Enterprise Hosts,Committed APM (Enterprise),Committed APM Enterprise,APM Enterprise,APM Enterprise,APM Enterprise,apm,APM,apm,APM,APM,APM,Application Performance Monitoring,Applications,apm,apm,Invoicing - APM,APM Bundle,APM Bundle*
APM-HOST-PRO,apm_host_pro,apm_host_pro,APM host,APM Pro Hosts,apm_host_pro,APM Pro Hosts,Committed APM (Pro),Committed APM Pro,APM Pro,APM Pro,APM Pro,apm,APM,apm,APM,APM,APM,Application Performance Monitoring,Applications,apm,apm,Invoicing - APM,APM Hosts,APM
APPSEC-FARGATE-SCA,application_security_sca_fargate_task,application_security_sca_fargate_task,,,application_security_sca_fargate_task,Application Security - Software Composition Analysis (SCA) Fargate Tasks,,,,,,application_security,Application Security,,,,,,,,,,,
