private_dns_name,service_name,tags
bisque.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-0c26ca335d93a68b5,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:process dd-pool-service:edge-pool0 load-balancer/color:bisque load-balancer/customer-facing:true load-balancer/gateways-frontend:process load-balancer/gateways-pool:edge-pool0 load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
tomato.edge.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-09c55c3f990206ba0,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:echo dd-pool-service:unassigned load-balancer/color:tomato load-balancer/customer-facing:true load-balancer/gateways-frontend:echo load-balancer/gateways-pool:unassigned load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
wheat.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-0a2006b178f345de6,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:slack_gw dd-pool-service:unassigned load-balancer/color:wheat load-balancer/customer-facing:true load-balancer/gateways-frontend:slack_gw load-balancer/gateways-pool:unassigned load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
snow.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-0e05823ecf4eaa84f,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_compliance dd-pool-service:unassigned load-balancer/color:snow load-balancer/customer-facing:true load-balancer/gateways-frontend:evp_compliance load-balancer/gateways-pool:unassigned load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
salmon.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-0803d0b5406b68f27,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:salesforce dd-pool-service:unassigned load-balancer/color:salmon load-balancer/customer-facing:true load-balancer/gateways-frontend:salesforce load-balancer/gateways-pool:unassigned load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
tan.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-0b557706c2fbd06b6,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_aws_kinesis dd-pool-service:unassigned load-balancer/color:tan load-balancer/customer-facing:true load-balancer/gateways-frontend:evp_aws_kinesis load-balancer/gateways-pool:unassigned load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
black.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-05261703a7218e60a,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_replay dd-pool-service:unassigned load-balancer/color:black load-balancer/customer-facing:true load-balancer/gateways-frontend:evp_replay load-balancer/gateways-pool:unassigned load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
aqua.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-01b61a61d21fc7273,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:evp_gcp dd-pool-service:edge-pool1 load-balancer/color:aqua load-balancer/customer-facing:true load-balancer/gateways-frontend:evp_gcp load-balancer/gateways-pool:edge-pool1 load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
,com.amazonaws.vpce.ap-southeast-2.vpce-svc-01a7e22bcb9d110c2,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog name:fabric-nat region:ap-southeast-2 service:fabric-nat team:cloud-networks terraform:true terraform.managed:true terraform.module:cloud-inventory/terraform-modules/aws-network-fabric-nat terraform.module_version:1.2.0 terraform.path:cloud-inventory/aws/prod-ap2-solid-transit/network-fabric-nat]
ivory.intake.ap2.datadoghq.com,com.amazonaws.vpce.ap-southeast-2.vpce-svc-0c026794e409de082,map[account:prod-ap2-solid-transit aws_account:619071322193 aws_account_alias:dd-prod-ap2-solid-transit datacenter:ap2.prod.dog dd-frontend-service:oncall_paging_secondary dd-pool-service:edge-pool2 load-balancer/color:ivory load-balancer/customer-facing:true load-balancer/gateways-frontend:oncall_paging_secondary load-balancer/gateways-pool:edge-pool2 load-balancer/lifecycle:live name: region:ap-southeast-2 team:fabric-edge-ingress terraform:true terraform.managed:true terraform.module:terraform-registry.us1.ddbuild.io/cloud-inventory/aws-network-vpc-endpoint-service/aws terraform.module_version:1.0.2]
